name,pick_num,year_drafted,id,team_id
Donovan McNabb,2,1999,26,1
Jameis Winston,1,2015,1,33
Trent Dilfer,6,1994,33,33
Cam Newton,1,2011,7,2
Kerry Collins,5,1995,31,2
Sam Bradford,1,2010,10,3
Matthew Stafford,1,2009,11,5
Joey Harrington,3,2002,23,5
Andre Ware,7,1990,38,5
Rick Mirer,2,1993,35,6
David Carr,1,2002,22,8
Blake Bortles,3,2014,3,11
Blaine Gabbert,10,2011,9,11
Byron Leftwich,7,2003,21,11
Matt Leinart,10,2006,16,12
Troy Aikman,1,1989,39,14
Rich Campbell,6,1981,47,15
Jim McMahon,5,1982,46,16
Drew Bledsoe,1,1993,34,17
Andrew Luck,1,2012,4,18
Peyton Manning,1,1998,28,18
Jeff George,1,1990,37,18
John Elway,1,1983,43,19
Art Schlinter,4,1982,45,19
Philip Rivers,4,2004,19,20
Tim Couch,1,1999,25,21
Matt Ryan,3,2008,13,22
Michael Vick,1,2001,24,22
Marcus Mariota,2,2015,2,23
Jake Locker,8,2011,8,23
Vince Young,3,2006,15,23
Mark Sanchez,5,2009,12,24
Vinney Testaverde,1,1987,40,33
Todd Blackledge,7,1983,44,25
Alex Smith,1,2005,17,27
Eli Manning,1,2004,18,28
Ryan Leaf,2,1998,29,28
JaMarcus Russell,1,2007,14,29
Carson Palmer,1,2003,20,30
Akili Smith,3,1999,27,30
David Klingler,6,1992,36,30
Ryan Tannehill,8,2012,6,31
Steve McNair,3,1995,30,32
Jim Everett,3,1986,42,32
Robert Griffin,2,2012,5,34
Heath Shuler,3,1994,32,34
